"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"33","Justin Jefferson","WR","MIN","24","24.9","27.9","26.5","5.8","-","-","-","-","-","-","-","BYE","4.7","15.4","26.1","10.9","36","20.2","202.2"
"34","Jaylen Waddle","WR","MIA","11.8","12.4","-","8.6","14.5","18.1","12.3","25.1","8.4","BYE","9.5","19.4","10.2","13.9","28.2","6.2","-","-","14.2","198.6"
"35","Courtland Sutton","WR","DEN","13.2","11.6","19.1","11.7","2.3","14.6","19.6","10.9","BYE","17.3","16.6","9.1","15.7","15.2","12.1","0","-","1.2","11.9","190.2"
"36","Romeo Doubs","WR","GB","18.6","5","18.3","18.5","1.4","BYE","11","11.8","6.6","12.1","16.3","6.7","11.2","7.2","6","17.9","5.8","0","10.3","174.4"
"37","Drake London","WR","ATL","0","18.7","5.1","11.8","14.7","21.5","11.4","10.5","-","6.6","BYE","14.1","1.8","29.2","4.4","6.9","9.6","8.1","10.9","174.4"
"38","Brandin Cooks","WR","NO","4.2","-","3.7","6.7","2.3","15","-","14.2","1.7","32.3","7.2","17.2","16.5","5.7","3","10.3","17","16.2","10.8","173.2"
"39","Tank Dell","WR","HOU","6.4","20.2","25.5","3.9","8.3","-","BYE","6.1","29.6","18.9","28.9","17.2","0","-","-","-","-","-","15","165"
"40","Cooper Kupp","WR","SEA","-","-","-","-","19.8","27.8","6.9","6.1","6.8","-","2.1","4.8","15.9","25.5","25.1","10.9","12.7","-","13.7","164.4"
"41","Gabe Davis","WR","FA","5.2","21.2","10.3","15.1","22","3.1","1.6","23.7","0","9.6","0","22.5","-","0","0","23","4.1","0","9.5","161.4"
"42","Curtis Samuel","WR","BUF","11","6.2","7.4","18.2","18.5","14.2","6.5","6.2","-","2.6","1.5","19","10.5","-","21.1","3","6.3","5","9.8","157.2"
"43","Josh Downs","WR","IND","6","7.7","13.7","5.4","15.7","13.1","23.5","14.2","2","6","BYE","9.3","4.4","6.2","4.9","9.9","7.3","7.8","9.2","157.1"
"44","Rashid Shaheed","WR","NO","19","10.3","6","6.3","4.8","18.3","7.2","24.3","5.2","7.4","BYE","2.9","-","0","6.6","18.4","3.4","15.5","9.7","155.6"
"45","Diontae Johnson","WR","CLE","7.8","-","-","-","BYE","-","12.9","16.5","22","2.7","3.6","9","13.3","14.7","16.2","3.5","11.6","18.9","11.7","152.7"
"46","Darius Slayton","WR","NYG","4.5","9.2","6.2","4.3","5.5","10.9","3.2","0.9","9.9","5.1","18.2","3.6","BYE","3.4","10.3","18","20.6","17.2","8.9","151"
"47","Christian Kirk","WR","HOU","1.9","22","15.4","16.4","14.4","13.9","19","8.6","-","14.4","7.8","12.9","3.6","-","-","-","-","-","12.5","150.3"
"48","Jaxon Smith-Njigba","WR","SEA","4.3","8.4","2","3.5","BYE","8.8","16.3","12.6","12.3","9.3","7","6.1","13.2","6.5","14.8","12.1","8.2","4.4","8.8","149.8"
"49","Tyler Boyd","WR","FA","3","11.2","8.9","6.6","9.9","16.8","-","13.6","8.6","19.7","5.2","5.3","8.2","4.3","7.3","10.9","4.9","1.4","8.6","145.8"
"50","Jerry Jeudy","WR","CLE","-","5.5","13.1","8.2","11","4.4","11.4","13","-","6.5","10.8","3.1","8.1","3.6","10.4","7.4","8.4","16.9","8.9","141.8"
"51","Tee Higgins","WR","CIN","0","28.9","4.1","3.9","-","4","BYE","11.9","19","-","-","-","6.6","9.2","22.1","25","2.9","-","11.5","137.6"
"52","Marquise Brown","WR","KC","8.7","17.4","17.1","16.6","16.1","7.4","7.9","15.3","6.4","3.8","3.2","14.8","0","-","0","-","-","-","9.6","134.7"
"53","Wan'Dale Robinson","WR","NYG","-","-","6.1","9.7","6.9","14.2","3.2","1.7","13.5","2.6","6.7","6.6","BYE","17.5","6.5","4.6","19.9","13.5","8.9","133.2"
"54","Elijah Moore","WR","BUF","9.2","7.1","11.8","2","-","6.7","9.9","5","3.4","15.4","12","5.4","12.3","7.2","3.7","3.9","17.1","0","7.8","132.1"
"55","Josh Reynolds","WR","NYJ","12","23.6","-","9.9","17.6","8","6.3","0.3","-","3.5","2.1","9.5","2.2","13.4","6.1","2.6","2.3","9.4","8.1","128.8"
"56","Jahan Dotson","WR","PHI","9","5.2","4.1","12.7","6","0","9.3","24.8","16.9","0","11.3","10.2","4.3","-","2.2","5.1","0","3.7","7.3","124.8"
"57","K.J. Osborn","WR","WAS","6.1","12.4","10.6","2.6","9.9","8.8","9.7","17.9","3.7","-","1.7","6.4","-","5.5","1.3","20.5","0","2.9","7.5","120"
"58","Dontayvion Wicks","WR","GB","0","12","8.5","0","2","BYE","3.4","4.8","6.9","8.1","12.1","-","7.3","4","15.7","10.9","-","24.1","8","119.8"
"59","DJ Chark Jr.","WR","ATL","-","2.5","18.6","4.8","13.2","5.6","-","4.3","8.9","-","0","6.4","8.6","4.6","2.8","27.8","2.8","4.6","7.7","115.5"
"60","Michael Wilson","WR","ARI","3.9","8.6","10.6","26.6","2.8","9.2","5.6","9.8","-","6.4","-","-","-","BYE","0","0","15.5","15.5","8.8","114.5"
"61","Khalil Shakir","WR","BUF","0","8.1","1.5","0","2.1","2.3","7.5","15.2","9.7","3.4","20.5","7.7","BYE","2.2","0","7.5","8.9","16.5","6.7","113.1"
"62","Tutu Atwell","WR","LAR","17.9","15.2","17.2","7.4","8.9","4","10.1","6.9","5.3","BYE","2.7","10.6","1.9","0","-","0","0","4.3","7","112.4"
"63","Odell Beckham Jr.","WR","FA","5.7","5.9","-","-","3.3","5.4","9.9","0","14.6","11","15.6","6.4","-","19.7","2.4","3.3","4.3","-","7.7","107.5"
"64","DeMario Douglas","WR","NE","8","1.9","3","6.5","3.4","-","11.4","7.9","10.5","14.4","BYE","10.9","-","-","6.3","12.4","7.3","3.3","7.7","107.2"
"65","Joshua Palmer","WR","BUF","1.4","4.3","14.6","10.7","-","10","18.3","5.4","-","-","0","-","BYE","-","21.3","9.7","-","11","9.7","106.7"
"66","Rondale Moore","WR","MIN","7.5","2.4","16.2","0","10.6","6.6","4.6","4.1","1.8","9.3","12.4","5.5","1.6","-","2.8","5.6","6.4","7.6","6.2","105"
"67","Noah Brown","WR","WAS","4.9","-","-","-","-","5.7","-","8.7","27.3","24.2","-","-","0","0","22.2","6.8","1.8","-","10.2","101.6"
"68","Christian Watson","WR","GB","-","-","-","10.5","11.6","BYE","5.7","6.3","4.7","4.3","10.2","20.4","27.6","-","-","-","-","-","11.3","101.3"
"69","Kendrick Bourne","WR","NE","24.4","6.9","8.6","5.6","6.3","19.3","16.3","12.6","-","-","BYE","-","-","-","-","-","-","-","12.5","100"
"70","Kalif Raymond","WR","DET","3","13.7","9.5","4.8","7.5","5.6","4","4.2","BYE","6.6","1.5","14.6","0.9","4.5","2.2","5.7","2.1","7","5.7","97.4"
"71","Nelson Agholor","WR","FA","0","17.3","7.9","1.4","10.4","6","8.2","0","1.2","0","10.7","3.1","-","8.2","0","10","3.8","8.9","5.7","97.1"
